family,seed,eps,train_eps,rob_lam,metric,direction,standard,robust,effect,score,variant,target
bbb,0,0.07,0.08,0.25,mean_mutual_information,robust-standard,0.07568264920060655,0.0017886410220511848,-0.07389400817855536,,,
bbb,0,0.07,0.08,0.25,mean_confidence,robust-standard,0.8502329167914149,0.939669391767621,0.0894364749762061,,,
bbb,0,0.08,0.08,0.25,n,robust-standard,10000.0,10000.0,0.0,,,
bbb,0,0.08,0.08,0.25,mc_samples,robust-standard,50.0,50.0,0.0,,,
bbb,0,0.08,0.08,0.25,accuracy,robust-standard,0.5647,0.8655,0.30080000000000007,,,
bbb,0,0.08,0.08,0.25,nll,standard-robust,1.397693157196045,0.6020992398262024,0.7955939173698425,,,
bbb,0,0.08,0.08,0.25,brier,standard-robust,0.6631905436515808,0.21556776762008667,0.44762277603149414,,,
bbb,0,0.08,0.08,0.25,ece,standard-robust,0.27104178608655927,0.06326416069716215,0.20777762538939712,,,
bbb,0,0.08,0.08,0.25,ece_adaptive,robust-standard,0.2708278559744358,0.06282828853130343,-0.2079995674431324,,,
bbb,0,0.08,0.08,0.25,mean_predictive_entropy,robust-standard,0.37527917411720557,0.19791051164443993,-0.17736866247276564,,,
bbb,0,0.08,0.08,0.25,mean_mutual_information,robust-standard,0.08488147798929326,0.0019771936349631605,-0.08290428435433009,,,
bbb,0,0.08,0.08,0.25,mean_confidence,robust-standard,0.8355278423398295,0.9283282825043203,0.09280044016449085,,,
bbb,0,0.1,0.08,0.25,n,robust-standard,10000.0,10000.0,0.0,,,
bbb,0,0.1,0.08,0.25,mc_samples,robust-standard,50.0,50.0,0.0,,,
bbb,0,0.1,0.08,0.25,accuracy,robust-standard,0.3372,0.809,0.47180000000000005,,,
bbb,0,0.1,0.08,0.25,nll,standard-robust,2.5311174392700195,0.8605172038078308,1.6706002354621887,,,
bbb,0,0.1,0.08,0.25,brier,standard-robust,1.0718761682510376,0.3042140603065491,0.7676621079444885,,,
bbb,0,0.1,0.08,0.25,ece,standard-robust,0.5136799472659827,0.09285760145485403,0.42082234581112865,,,
bbb,0,0.1,0.08,0.25,ece_adaptive,robust-standard,0.5136798896849155,0.0928576123535633,-0.42082227733135225,,,
bbb,0,0.1,0.08,0.25,mean_predictive_entropy,robust-standard,0.35228203362065563,0.27130233191437947,-0.08097970170627616,,,
bbb,0,0.1,0.08,0.25,mean_mutual_information,robust-standard,0.08489914125791574,0.002529300685490939,-0.0823698405724248,,,
bbb,0,0.1,0.08,0.25,mean_confidence,robust-standard,0.8508798925957719,0.9018576000000088,0.050977707404236905,,,
bbb,0,0.15,0.08,0.25,n,robust-standard,10000.0,10000.0,0.0,,,
bbb,0,0.15,0.08,0.25,mc_samples,robust-standard,50.0,50.0,0.0,,,
bbb,0,0.15,0.08,0.25,accuracy,robust-standard,0.0603,0.5196,0.45929999999999993,,,
bbb,0,0.15,0.08,0.25,nll,standard-robust,6.716385364532471,2.1116719245910645,4.604713439941406,,,
bbb,0,0.15,0.08,0.25,brier,standard-robust,1.7453765869140625,0.7509393095970154,0.9944372773170471,,,
bbb,0,0.15,0.08,0.25,ece,standard-robust,0.8780027764111757,0.279287172010541,0.5987156044006348,,,
bbb,0,0.15,0.08,0.25,ece_adaptive,robust-standard,0.8780027619302273,0.2791374002546072,-0.5988653616756201,,,
bbb,0,0.15,0.08,0.25,mean_predictive_entropy,robust-standard,0.16270187594515748,0.5488574107208379,0.38615553477568043,,,
bbb,0,0.15,0.08,0.25,mean_mutual_information,robust-standard,0.04384828512092695,0.0045563444765172175,-0.03929194064440973,,,
bbb,0,0.15,0.08,0.25,mean_confidence,robust-standard,0.9383027545541321,0.7987373941942154,-0.13956536035991673,,,
bbb,1,0.0,0.08,0.25,n,robust-standard,10000.0,10000.0,0.0,,,
bbb,1,0.0,0.08,0.25,mc_samples,robust-standard,50.0,50.0,0.0,,,
bbb,1,0.0,0.08,0.25,accuracy,robust-standard,0.9817,0.9694,-0.012299999999999978,,,
bbb,1,0.0,0.08,0.25,nll,standard-robust,0.05616583302617073,0.12794730067253113,-0.0717814676463604,,,
bbb,1,0.0,0.08,0.25,brier,standard-robust,0.027231652289628983,0.04740971326828003,-0.020178060978651047,,,
bbb,1,0.0,0.08,0.25,ece,standard-robust,0.0038124312549829512,0.013492471113801037,-0.009680039858818086,,,
bbb,1,0.0,0.08,0.25,ece_adaptive,robust-standard,0.0037751626789569804,0.013492554259300236,0.009717391580343255,,,
bbb,1,0.0,0.08,0.25,mean_predictive_entropy,robust-standard,0.04177227700752829,0.047957720717827834,0.006185443710299547,,,
bbb,1,0.0,0.08,0.25,mean_mutual_information,robust-standard,0.009086646298669652,0.0008784471522584074,-0.008208199146411244,,,
bbb,1,0.0,0.08,0.25,mean_confidence,robust-standard,0.9853373890485957,0.9828925141776353,-0.002444874870960345,,,
bbb,1,0.01,0.08,0.25,n,robust-standard,10000.0,10000.0,0.0,,,
bbb,1,0.01,0.08,0.25,mc_samples,robust-standard,50.0,50.0,0.0,,,
bbb,1,0.01,0.08,0.25,accuracy,robust-standard,0.9732,0.9626,-0.010599999999999943,,,
bbb,1,0.01,0.08,0.25,nll,standard-robust,0.08722637593746185,0.15988320112228394,-0.07265682518482208,,,
bbb,1,0.01,0.08,0.25,brier,standard-robust,0.04145931452512741,0.05939418449997902,-0.01793486997485161,,,
bbb,1,0.01,0.08,0.25,ece,standard-robust,0.006973093336820559,0.017209520393609998,-0.010236427056789439,,,
bbb,1,0.01,0.08,0.25,ece_adaptive,robust-standard,0.005351054269075402,0.016562007075548148,0.011210952806472746,,,
bbb,1,0.01,0.08,0.25,mean_predictive_entropy,robust-standard,0.0604936636834048,0.05808921009198081,-0.002404453591423994,,,
bbb,1,0.01,0.08,0.25,mean_mutual_information,robust-standard,0.01304863869806502,0.0010112111144494782,-0.012037427583615541,,,
bbb,1,0.01,0.08,0.25,mean_confidence,robust-standard,0.9785033988506026,0.9791619989630581,0.0006586001124555541,,,
bbb,1,0.03,0.08,0.25,n,robust-standard,10000.0,10000.0,0.0,,,
bbb,1,0.03,0.08,0.25,mc_samples,robust-standard,50.0,50.0,0.0,,,
bbb,1,0.03,0.08,0.25,accuracy,robust-standard,0.9391,0.9438,0.0046999999999999265,,,
bbb,1,0.03,0.08,0.25,nll,standard-robust,0.20258696377277374,0.23998671770095825,-0.03739975392818451,,,
bbb,1,0.03,0.08,0.25,brier,standard-robust,0.09459714591503143,0.08952285349369049,0.005074292421340942,,,
bbb,1,0.03,0.08,0.25,ece,standard-robust,0.015349994888901757,0.026667219486832643,-0.011317224597930886,,,
bbb,1,0.03,0.08,0.25,ece_adaptive,robust-standard,0.014784252309799196,0.02646231322884559,0.011678060919046393,,,
bbb,1,0.03,0.08,0.25,mean_predictive_entropy,robust-standard,0.1231480468797612,0.08287587963852608,-0.04027216724123513,,,
bbb,1,0.03,0.08,0.25,mean_mutual_information,robust-standard,0.026453937487810424,0.0012780636670070066,-0.025175873820803416,,,
bbb,1,0.03,0.08,0.25,mean_confidence,robust-standard,0.9538771092639039,0.9702622824248374,0.016385173160933464,,,
bbb,1,0.05,0.08,0.25,n,robust-standard,10000.0,10000.0,0.0,,,
bbb,1,0.05,0.08,0.25,mc_samples,robust-standard,50.0,50.0,0.0,,,
bbb,1,0.05,0.08,0.25,accuracy,robust-standard,0.858,0.9193,0.06130000000000002,,,
bbb,1,0.05,0.08,0.25,nll,standard-robust,0.46351826190948486,0.3541657626628876,0.10935249924659729,,,
bbb,1,0.05,0.08,0.25,brier,standard-robust,0.22063253819942474,0.13038650155067444,0.0902460366487503,,,
bbb,1,0.05,0.08,0.25,ece,standard-robust,0.05059270427227021,0.03960843303799632,0.010984271234273889,,,
bbb,1,0.05,0.08,0.25,ece_adaptive,robust-standard,0.04819598761796952,0.03939124997854232,-0.008804737639427199,,,
bbb,1,0.05,0.08,0.25,mean_predictive_entropy,robust-standard,0.23361828460312536,0.11434808436891541,-0.11927020023420995,,,
bbb,1,0.05,0.08,0.25,mean_mutual_information,robust-standard,0.05110561118984295,0.0015297513780784576,-0.04957585981176449,,,
bbb,1,0.05,0.08,0.25,mean_confidence,robust-standard,0.9061959776668015,0.9586912256431877,0.05249524797638616,,,
bbb,1,0.07,0.08,0.25,n,robust-standard,10000.0,10000.0,0.0,,,
bbb,1,0.07,0.08,0.25,mc_samples,robust-standard,50.0,50.0,0.0,,,
bbb,1,0.07,0.08,0.25,accuracy,robust-standard,0.6715,0.8844,0.21289999999999998,,,
bbb,1,0.07,0.08,0.25,nll,standard-robust,1.0149203538894653,0.5119173526763916,0.5030030012130737,,,
bbb,1,0.07,0.08,0.25,brier,standard-robust,0.49267029762268066,0.18400689959526062,0.30866339802742004,,,
bbb,1,0.07,0.08,0.25,ece,standard-robust,0.17648281714618208,0.058440368252992606,0.11804244889318947,,,
bbb,1,0.07,0.08,0.25,ece_adaptive,robust-standard,0.1763454906582832,0.05834255632758139,-0.1180029343307018,,,
bbb,1,0.07,0.08,0.25,mean_predictive_entropy,robust-standard,0.3476897012165874,0.15805542315535281,-0.18963427806123456,,,
bbb,1,0.07,0.08,0.25,mean_mutual_information,robust-standard,0.07992454264418618,0.0019141970556651607,-0.07801034558852102,,,
bbb,1,0.07,0.08,0.25,mean_confidence,robust-standard,0.8478455084424772,0.9427425386835634,0.0948970302410862,,,
bbb,1,0.08,0.08,0.25,n,robust-standard,10000.0,10000.0,0.0,,,
bbb,1,0.08,0.08,0.25,mc_samples,robust-standard,50.0,50.0,0.0,,,
bbb,1,0.08,0.08,0.25,accuracy,robust-standard,0.5469,0.8639,0.31699999999999995,,,
bbb,1,0.08,0.08,0.25,nll,standard-robust,1.4461994171142578,0.6132267713546753,0.8329726457595825,,,
bbb,1,0.08,0.08,0.25,brier,standard-robust,0.6891606450080872,0.2181219756603241,0.47103866934776306,,,
bbb,1,0.08,0.08,0.25,ece,standard-robust,0.2899956365585328,0.07009405815005307,0.2199015784084797,,,
bbb,1,0.08,0.08,0.25,ece_adaptive,robust-standard,0.2899956391870976,0.06930358033180237,-0.22069205885529522,,,
bbb,1,0.08,0.08,0.25,mean_predictive_entropy,robust-standard,0.3709476529587228,0.1855897388053891,-0.1853579141533337,,,
bbb,1,0.08,0.08,0.25,mean_mutual_information,robust-standard,0.08838880029921059,0.002148941058242011,-0.08623985924096858,,,
bbb,1,0.08,0.08,0.25,mean_confidence,robust-standard,0.8368956394917059,0.9332035786958932,0.09630793920418734,,,
bbb,1,0.1,0.08,0.25,n,robust-standard,10000.0,10000.0,0.0,,,
bbb,1,0.1,0.08,0.25,mc_samples,robust-standard,50.0,50.0,0.0,,,
bbb,1,0.1,0.08,0.25,accuracy,robust-standard,0.3248,0.8076,0.4828,,,
bbb,1,0.1,0.08,0.25,nll,standard-robust,2.634774923324585,0.87764573097229,1.757129192352295,,,
bbb,1,0.1,0.08,0.25,brier,standard-robust,1.1081067323684692,0.3089977204799652,0.799109011888504,,,
bbb,1,0.1,0.08,0.25,ece,standard-robust,0.5344604944318534,0.10020396987795832,0.4342565245538951,,,
bbb,1,0.1,0.08,0.25,ece_adaptive,robust-standard,0.5344604674220085,0.09867039682567119,-0.4357900705963373,,,
bbb,1,0.1,0.08,0.25,mean_predictive_entropy,robust-standard,0.33493579059608974,0.25884749231849874,-0.076088298277591,,,
bbb,1,0.1,0.08,0.25,mean_mutual_information,robust-standard,0.08585413116968948,0.002820027618682815,-0.08303410355100667,,,
bbb,1,0.1,0.08,0.25,mean_confidence,robust-standard,0.8592604856409652,0.9062704016964286,0.04700991605546334,,,
bbb,1,0.15,0.08,0.25,n,robust-standard,10000.0,10000.0,0.0,,,
bbb,1,0.15,0.08,0.25,mc_samples,robust-standard,50.0,50.0,0.0,,,
