family,condition,train_eps,rob_lam,eps,n_seeds_present,metric,mean,sd,se,ci_low,ci_high,n_valid
bbb,robust,0.08,0.25,0.03,5,subset_accuracy_adv,1.0,0.0,0.0,1.0,1.0,5
bbb,robust,0.08,0.25,0.03,5,subset_misclassification_adv,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,5,attack_success_rate,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.03,5,subset_ece_clean,0.0027091457843780474,0.0008638929700091001,0.00038634468124490695,0.0016366529492421857,0.0037816386195139093,5
bbb,robust,0.08,0.25,0.03,5,subset_ece_adv,0.02052808094024659,0.008924860030341465,0.00399131874350287,0.009448180108282623,0.03160798177221055,5
bbb,robust,0.08,0.25,0.03,5,mean_mutual_information_clean,0.00014632471587246784,6.850703276503291e-05,3.063727643988379e-05,6.127563647535044e-05,0.00023137379526958523,5
bbb,robust,0.08,0.25,0.03,5,mean_mutual_information_adv,0.0011387765907773023,0.0005426261519900973,0.00024266979244379807,0.00046512524695331884,0.0018124279346012858,5
bbb,robust,0.08,0.25,0.03,5,mean_mutual_information_delta,0.0009924518749048344,0.00048756750551875094,0.00021804681719198618,0.00038715391037988085,0.0015977498394297881,5
bbb,robust,0.08,0.25,0.03,5,delta_mutual_information_attack_success,,,,,,0
bbb,robust,0.08,0.25,0.03,5,delta_mutual_information_attack_failed,0.0009924518749048344,0.00048756750551875094,0.00021804681719198618,0.00038715391037988085,0.0015977498394297881,5
bbb,robust,0.08,0.25,0.03,5,delta_mutual_information_success_gap,,,,,,0
bbb,robust,0.08,0.25,0.03,5,mean_one_minus_confidence_clean,0.0027091457843780517,0.0008638929700090977,0.00038634468124490586,0.001636652949242193,0.00378163861951391,5
bbb,robust,0.08,0.25,0.03,5,mean_one_minus_confidence_adv,0.02052808094024658,0.00892486003034146,0.0039913187435028676,0.00944818010828262,0.03160798177221054,5
bbb,robust,0.08,0.25,0.03,5,mean_one_minus_confidence_delta,0.017818935155868527,0.008134855407006434,0.0036380179354396206,0.007719797367088142,0.027918072944648913,5
bbb,robust,0.08,0.25,0.03,5,delta_one_minus_confidence_attack_success,,,,,,0
bbb,robust,0.08,0.25,0.03,5,delta_one_minus_confidence_attack_failed,0.017818935155868527,0.008134855407006434,0.0036380179354396206,0.007719797367088142,0.027918072944648913,5
bbb,robust,0.08,0.25,0.03,5,delta_one_minus_confidence_success_gap,,,,,,0
bbb,robust,0.08,0.25,0.03,5,n_inputs_cert,,,,,,0
bbb,robust,0.08,0.25,0.03,5,mean_p_safe_point,,,,,,0
bbb,robust,0.08,0.25,0.03,5,median_p_safe_point,,,,,,0
bbb,robust,0.08,0.25,0.03,5,mean_p_safe_optimistic,,,,,,0
bbb,robust,0.08,0.25,0.03,5,mean_p_safe_lower,,,,,,0
bbb,robust,0.08,0.25,0.03,5,mean_p_safe_upper,,,,,,0
bbb,robust,0.08,0.25,0.03,5,mean_interval_width,,,,,,0
bbb,robust,0.08,0.25,0.03,5,mean_ci_width,,,,,,0
bbb,robust,0.08,0.25,0.03,5,mean_unknown_frac,,,,,,0
bbb,robust,0.08,0.25,0.03,5,mean_property_evaluations,,,,,,0
bbb,robust,0.08,0.25,0.03,5,mean_net_frac_safe,,,,,,0
bbb,robust,0.08,0.25,0.03,5,mean_net_frac_unsafe,,,,,,0
bbb,robust,0.08,0.25,0.03,5,p_safe_q05,,,,,,0
bbb,robust,0.08,0.25,0.03,5,p_safe_q25,,,,,,0
bbb,robust,0.08,0.25,0.03,5,p_safe_q50,,,,,,0
bbb,robust,0.08,0.25,0.03,5,p_safe_q75,,,,,,0
bbb,robust,0.08,0.25,0.03,5,p_safe_q95,,,,,,0
bbb,robust,0.08,0.25,0.03,5,frac_robust_tau0.5,,,,,,0
bbb,robust,0.08,0.25,0.03,5,frac_below_tau0.5,,,,,,0
bbb,robust,0.08,0.25,0.03,5,frac_inconclusive_tau0.5,,,,,,0
bbb,robust,0.08,0.25,0.03,5,frac_robust_tau0.9,,,,,,0
bbb,robust,0.08,0.25,0.03,5,frac_below_tau0.9,,,,,,0
bbb,robust,0.08,0.25,0.03,5,frac_inconclusive_tau0.9,,,,,,0
bbb,robust,0.08,0.25,0.03,5,frac_robust_tau0.95,,,,,,0
bbb,robust,0.08,0.25,0.03,5,frac_below_tau0.95,,,,,,0
bbb,robust,0.08,0.25,0.03,5,frac_inconclusive_tau0.95,,,,,,0
bbb,robust,0.08,0.25,0.05,5,subset_accuracy_clean,1.0,0.0,0.0,1.0,1.0,5
bbb,robust,0.08,0.25,0.05,5,subset_accuracy_adv,0.96,0.028284271247461926,0.012649110640673528,0.9248860688614903,0.9951139311385097,5
bbb,robust,0.08,0.25,0.05,5,subset_misclassification_adv,0.039999999999999994,0.0282842712474619,0.012649110640673518,0.00488606886149031,0.07511393113850967,5
bbb,robust,0.08,0.25,0.05,5,attack_success_rate,0.039999999999999994,0.0282842712474619,0.012649110640673518,0.00488606886149031,0.07511393113850967,5
bbb,robust,0.08,0.25,0.05,5,subset_ece_clean,0.0027091457843780474,0.0008638929700091001,0.00038634468124490695,0.0016366529492421857,0.0037816386195139093,5
