family,condition,seed,train_eps,rob_lam,eval_split,run_file,eps,n_inputs,mean_p_safe_lower,mean_p_safe_upper,mean_interval_width,frac_p_safe_lower_geq_0p5,mean_p_safe_point,median_p_safe_point,frac_p_safe_point_geq_0p9,mean_unknown_frac,mean_property_evaluations,mean_net_frac_safe,mean_net_frac_unsafe
bbb,robust,2,0.08,0.25,test,seed2_eps0p08_lam0p25.json,0.01,50,0.9249999999999998,1.0,0.07499999999999997,1.0,1.0,1.0,1.0,0.0,94.0,1.0,0.0
bbb,robust,2,0.08,0.25,test,seed2_eps0p08_lam0p25.json,0.05,50,0.851,0.9448539823008849,0.0938539823008849,0.92,0.92,1.0,0.92,0.020412371134020616,94.88,0.94,0.06
bbb,robust,2,0.08,0.25,test,seed2_eps0p08_lam0p25.json,0.07,50,0.8287548699258513,0.9424383561643837,0.11368348623853208,0.9,0.8964318610762939,1.0,0.88,0.03929663084962524,102.92,0.9,0.06
bbb,robust,2,0.08,0.25,test,seed2_eps0p08_lam0p25.json,0.08,50,0.7634847098217256,0.9330997410209229,0.16961503119919705,0.82,0.828307290466887,1.0,0.82,0.09757398655339906,111.34,0.9,0.06
bbb,robust,2,0.08,0.25,test,seed2_eps0p08_lam0p25.json,0.1,50,0.5395537098616777,0.8918202323822346,0.352266522520557,0.58,0.5865014710557075,0.9954128440366973,0.54,0.2881377042020244,136.64,0.66,0.1
bbb,standard,3,,,test,seed3_eps0p08_lam0p25.json,0.01,50,0.8451268899740662,0.9971164383561644,0.15198954838209824,0.92,0.9201268899740661,1.0,0.8,0.07397597768674995,135.44,1.0,0.0
bbb,standard,3,,,test,seed3_eps0p08_lam0p25.json,0.05,50,0.0,0.5050786821129207,0.5050786821129207,0.0,0.0,0.0,0.0,0.4457731958762887,160.14,0.22,0.12
bbb,standard,3,,,test,seed3_eps0p08_lam0p25.json,0.07,50,0.0,0.2483393593150029,0.2483393593150029,0.0,0.0,0.0,0.0,0.17567010309278344,146.38,0.02,0.38
bbb,standard,3,,,test,seed3_eps0p08_lam0p25.json,0.08,50,0.0,0.16607983196615841,0.16607983196615841,0.0,0.0,0.0,0.0,0.09608247422680412,128.64,0.0,0.48
bbb,standard,3,,,test,seed3_eps0p08_lam0p25.json,0.1,50,0.0,0.09922462782821612,0.09922462782821612,0.0,0.0,0.0,0.0,0.022268041237113404,107.94,0.0,0.62
bbb,robust,3,0.08,0.25,test,seed3_eps0p08_lam0p25.json,0.01,50,0.9249999999999998,1.0,0.07499999999999997,1.0,1.0,1.0,1.0,0.0,94.0,1.0,0.0
bbb,robust,3,0.08,0.25,test,seed3_eps0p08_lam0p25.json,0.05,50,0.8468137336960312,0.9475108087607851,0.10069707506475378,0.92,0.9173137336960312,1.0,0.88,0.02486929967807324,107.26,0.94,0.06
bbb,robust,3,0.08,0.25,test,seed3_eps0p08_lam0p25.json,0.07,50,0.8063132129018173,0.9109246575342467,0.10461144463242915,0.88,0.8723132129018174,1.0,0.84,0.031604312871378486,105.36,0.88,0.1
bbb,robust,3,0.08,0.25,test,seed3_eps0p08_lam0p25.json,0.08,50,0.7322903482053453,0.9087120924042209,0.17642174419887546,0.8,0.7952903482053455,1.0,0.74,0.1051220229286752,117.08,0.86,0.1
bbb,robust,3,0.08,0.25,test,seed3_eps0p08_lam0p25.json,0.1,50,0.5275663856691254,0.8300289527056134,0.3024625670364879,0.58,0.5721846991802014,1.0,0.54,0.24327921834557176,128.9,0.66,0.16
bbb,standard,4,,,test,seed4_eps0p08_lam0p25.json,0.01,50,0.8686944472727859,0.9880753424657535,0.11938089519296753,0.96,0.9430481058093712,1.0,0.8,0.0439185603730738,133.08,0.98,0.0
bbb,standard,4,,,test,seed4_eps0p08_lam0p25.json,0.05,50,0.0,0.4761041210578481,0.4761041210578481,0.0,0.0,0.0,0.0,0.41402061855670097,164.96,0.22,0.1
bbb,standard,4,,,test,seed4_eps0p08_lam0p25.json,0.07,50,0.0,0.22081772500978494,0.22081772500978494,0.0,0.0,0.0,0.0,0.14494845360824743,153.6,0.0,0.42
bbb,standard,4,,,test,seed4_eps0p08_lam0p25.json,0.08,50,0.0,0.13910926658477846,0.13910926658477846,0.0,0.0,0.0,0.0,0.06412371134020618,129.34,0.0,0.52
bbb,standard,4,,,test,seed4_eps0p08_lam0p25.json,0.1,50,0.0,0.07858689085354953,0.07858689085354953,0.0,0.0,0.0,0.0,0.003298969072164948,102.2,0.0,0.66
bbb,robust,4,0.08,0.25,test,seed4_eps0p08_lam0p25.json,0.01,50,0.9249999999999998,1.0,0.07499999999999997,1.0,1.0,1.0,1.0,0.0,94.0,1.0,0.0
bbb,robust,4,0.08,0.25,test,seed4_eps0p08_lam0p25.json,0.05,50,0.8860821917808218,0.9815,0.09541780821917804,0.96,0.958082191780822,1.0,0.96,0.020474509250105917,98.44,0.96,0.02
bbb,robust,4,0.08,0.25,test,seed4_eps0p08_lam0p25.json,0.07,50,0.7673618697162496,0.9369337899543378,0.16957192023808823,0.82,0.8333618697162496,1.0,0.76,0.0935997176301704,127.02,0.9,0.06
bbb,robust,4,0.08,0.25,test,seed4_eps0p08_lam0p25.json,0.08,50,0.6850833333333333,0.890520765383779,0.2054374320504457,0.74,0.7437013230801096,1.0,0.74,0.13499195947291406,117.96,0.78,0.1
bbb,robust,4,0.08,0.25,test,seed4_eps0p08_lam0p25.json,0.1,50,0.5808792251567908,0.8326784861940939,0.25179926103730316,0.64,0.6309067142617188,1.0,0.6,0.18455720326405445,128.44,0.72,0.16
deterministic,standard,0,,,test,seed0_eps0p08_lam0p25.json,0.01,50,0.9249999999999998,1.0,0.07499999999999997,1.0,1.0,1.0,1.0,0.0,94.0,1.0,0.0
deterministic,standard,0,,,test,seed0_eps0p08_lam0p25.json,0.05,50,0.0,0.5950338983050847,0.5950338983050847,0.0,0.0,0.0,0.0,0.5616494845360824,99.78,0.0,0.44
deterministic,standard,0,,,test,seed0_eps0p08_lam0p25.json,0.07,50,0.0,0.297,0.297,0.0,0.0,0.0,0.0,0.24,97.0,0.0,0.76
deterministic,standard,0,,,test,seed0_eps0p08_lam0p25.json,0.08,50,0.0,0.18599999999999994,0.18599999999999994,0.0,0.0,0.0,0.0,0.1197938144329897,97.0,0.0,0.88
deterministic,standard,0,,,test,seed0_eps0p08_lam0p25.json,0.1,50,0.0,0.07499999999999997,0.07499999999999997,0.0,0.0,0.0,0.0,0.0,97.0,0.0,1.0
deterministic,robust,0,0.08,0.25,test,seed0_eps0p08_lam0p25.json,0.01,50,0.9249999999999998,1.0,0.07499999999999997,1.0,1.0,1.0,1.0,0.0,94.0,1.0,0.0
deterministic,robust,0,0.08,0.25,test,seed0_eps0p08_lam0p25.json,0.05,50,0.9249999999999998,1.0,0.07499999999999997,1.0,1.0,1.0,1.0,0.0,94.0,1.0,0.0
deterministic,robust,0,0.08,0.25,test,seed0_eps0p08_lam0p25.json,0.07,50,0.8324999999999999,0.963,0.13049999999999998,0.9,0.9,1.0,0.9,0.06,94.3,0.9,0.04
deterministic,robust,0,0.08,0.25,test,seed0_eps0p08_lam0p25.json,0.08,50,0.814,0.8894477611940297,0.07544776119402981,0.88,0.88,1.0,0.88,0.00020618556701030926,95.1,0.88,0.12
deterministic,robust,0,0.08,0.25,test,seed0_eps0p08_lam0p25.json,0.1,50,0.74,0.8916119402985074,0.1516119402985074,0.8,0.8,1.0,0.8,0.08309278350515463,98.02,0.8,0.1
deterministic,standard,1,,,test,seed1_eps0p08_lam0p25.json,0.01,50,0.8879999999999998,0.963,0.07499999999999997,0.96,0.96,1.0,0.96,0.0,94.12,0.96,0.04
deterministic,standard,1,,,test,seed1_eps0p08_lam0p25.json,0.05,50,0.0,0.593,0.593,0.0,0.0,0.0,0.0,0.56,97.0,0.0,0.44
deterministic,standard,1,,,test,seed1_eps0p08_lam0p25.json,0.07,50,0.0,0.2156643835616438,0.2156643835616438,0.0,0.0,0.0,0.0,0.14969072164948455,100.9,0.0,0.84
deterministic,standard,1,,,test,seed1_eps0p08_lam0p25.json,0.08,50,0.0,0.14899999999999997,0.14899999999999997,0.0,0.0,0.0,0.0,0.08,97.0,0.0,0.92
deterministic,standard,1,,,test,seed1_eps0p08_lam0p25.json,0.1,50,0.0,0.09405944055944053,0.09405944055944053,0.0,0.0,0.0,0.0,0.02082474226804124,97.92,0.0,0.98
deterministic,robust,1,0.08,0.25,test,seed1_eps0p08_lam0p25.json,0.01,50,0.9249999999999998,1.0,0.07499999999999997,1.0,1.0,1.0,1.0,0.0,94.0,1.0,0.0
deterministic,robust,1,0.08,0.25,test,seed1_eps0p08_lam0p25.json,0.05,50,0.9064999999999998,1.0,0.09349999999999996,0.98,0.98,1.0,0.98,0.02,94.06,0.98,0.0
deterministic,robust,1,0.08,0.25,test,seed1_eps0p08_lam0p25.json,0.07,50,0.8324999999999999,0.9929383561643835,0.16043835616438354,0.9,0.9,1.0,0.9,0.09010309278350516,98.86,0.9,0.0
deterministic,robust,1,0.08,0.25,test,seed1_eps0p08_lam0p25.json,0.08,50,0.8139999999999997,0.9174119373776907,0.10341193737769076,0.88,0.88,1.0,0.88,0.029072164948453612,101.92,0.88,0.1
deterministic,robust,1,0.08,0.25,test,seed1_eps0p08_lam0p25.json,0.1,50,0.6659999999999999,0.900986301369863,0.23498630136986293,0.72,0.72,1.0,0.72,0.171340206185567,103.98,0.72,0.1
deterministic,standard,2,,,test,seed2_eps0p08_lam0p25.json,0.01,50,0.9064999999999998,0.9815,0.07499999999999997,0.98,0.98,1.0,0.98,0.0,94.06,0.98,0.02
