family,condition,seed,train_eps,rob_lam,eps,score,variant,coverage,selective_risk,n_retained
bbb,robust,0,0.08,0.25,0.08,one_minus_confidence,clean,1.0,0.08,50
bbb,robust,0,0.08,0.25,0.08,one_minus_confidence,adv,0.1,0.0,5
bbb,robust,0,0.08,0.25,0.08,one_minus_confidence,adv,0.2,0.0,10
bbb,robust,0,0.08,0.25,0.08,one_minus_confidence,adv,0.3,0.0,15
bbb,robust,0,0.08,0.25,0.08,one_minus_confidence,adv,0.4,0.05,20
bbb,robust,0,0.08,0.25,0.08,one_minus_confidence,adv,0.5,0.04,25
bbb,robust,0,0.08,0.25,0.08,one_minus_confidence,adv,0.6,0.03333333333333333,30
bbb,robust,0,0.08,0.25,0.08,one_minus_confidence,adv,0.7,0.02857142857142857,35
bbb,robust,0,0.08,0.25,0.08,one_minus_confidence,adv,0.8,0.025,40
bbb,robust,0,0.08,0.25,0.08,one_minus_confidence,adv,0.9,0.06666666666666667,45
bbb,robust,0,0.08,0.25,0.08,one_minus_confidence,adv,1.0,0.08,50
bbb,robust,0,0.08,0.25,0.08,one_minus_confidence,delta,0.1,0.2,5
bbb,robust,0,0.08,0.25,0.08,one_minus_confidence,delta,0.2,0.1,10
bbb,robust,0,0.08,0.25,0.08,one_minus_confidence,delta,0.3,0.06666666666666667,15
bbb,robust,0,0.08,0.25,0.08,one_minus_confidence,delta,0.4,0.05,20
bbb,robust,0,0.08,0.25,0.08,one_minus_confidence,delta,0.5,0.04,25
bbb,robust,0,0.08,0.25,0.08,one_minus_confidence,delta,0.6,0.03333333333333333,30
bbb,robust,0,0.08,0.25,0.08,one_minus_confidence,delta,0.7,0.02857142857142857,35
bbb,robust,0,0.08,0.25,0.08,one_minus_confidence,delta,0.8,0.025,40
bbb,robust,0,0.08,0.25,0.08,one_minus_confidence,delta,0.9,0.06666666666666667,45
bbb,robust,0,0.08,0.25,0.08,one_minus_confidence,delta,1.0,0.08,50
bbb,robust,0,0.08,0.25,0.1,mutual_information,clean,0.1,0.2,5
bbb,robust,0,0.08,0.25,0.1,mutual_information,clean,0.2,0.1,10
bbb,robust,0,0.08,0.25,0.1,mutual_information,clean,0.3,0.06666666666666667,15
bbb,robust,0,0.08,0.25,0.1,mutual_information,clean,0.4,0.05,20
bbb,robust,0,0.08,0.25,0.1,mutual_information,clean,0.5,0.08,25
bbb,robust,0,0.08,0.25,0.1,mutual_information,clean,0.6,0.06666666666666667,30
bbb,robust,0,0.08,0.25,0.1,mutual_information,clean,0.7,0.08571428571428572,35
bbb,robust,0,0.08,0.25,0.1,mutual_information,clean,0.8,0.1,40
bbb,robust,0,0.08,0.25,0.1,mutual_information,clean,0.9,0.13333333333333333,45
bbb,robust,0,0.08,0.25,0.1,mutual_information,clean,1.0,0.18,50
bbb,robust,0,0.08,0.25,0.1,mutual_information,adv,0.1,0.0,5
bbb,robust,0,0.08,0.25,0.1,mutual_information,adv,0.2,0.1,10
bbb,robust,0,0.08,0.25,0.1,mutual_information,adv,0.3,0.06666666666666667,15
bbb,robust,0,0.08,0.25,0.1,mutual_information,adv,0.4,0.1,20
bbb,robust,0,0.08,0.25,0.1,mutual_information,adv,0.5,0.12,25
bbb,robust,0,0.08,0.25,0.1,mutual_information,adv,0.6,0.1,30
bbb,robust,0,0.08,0.25,0.1,mutual_information,adv,0.7,0.08571428571428572,35
bbb,robust,0,0.08,0.25,0.1,mutual_information,adv,0.8,0.125,40
bbb,robust,0,0.08,0.25,0.1,mutual_information,adv,0.9,0.15555555555555556,45
bbb,robust,0,0.08,0.25,0.1,mutual_information,adv,1.0,0.18,50
bbb,robust,0,0.08,0.25,0.1,mutual_information,delta,0.1,0.2,5
bbb,robust,0,0.08,0.25,0.1,mutual_information,delta,0.2,0.1,10
bbb,robust,0,0.08,0.25,0.1,mutual_information,delta,0.3,0.06666666666666667,15
bbb,robust,0,0.08,0.25,0.1,mutual_information,delta,0.4,0.1,20
bbb,robust,0,0.08,0.25,0.1,mutual_information,delta,0.5,0.12,25
bbb,robust,0,0.08,0.25,0.1,mutual_information,delta,0.6,0.1,30
bbb,robust,0,0.08,0.25,0.1,mutual_information,delta,0.7,0.11428571428571428,35
bbb,robust,0,0.08,0.25,0.1,mutual_information,delta,0.8,0.125,40
