comparison_id,architecture,family,seed,eval_split,train_epsilon,rob_lam,robust_config_id,eval_epsilon,subset,score,rho_pessimistic_standard,rho_pessimistic_robust,delta_rho_pessimistic,inverse_alignment_gain_pessimistic,rho_optimistic_standard,rho_optimistic_robust,delta_rho_optimistic,inverse_alignment_gain_optimistic
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.07,all,mutual_information,,-0.43047644555186276,,,-0.7704376352928144,-0.3462645324964435,0.4241731027963709,-0.4241731027963709
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.07,clean_correct,mutual_information,,-0.35885092099126076,,,-0.7749521694184166,-0.23593504196995846,0.5390171274484581,-0.5390171274484581
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.07,all,one_minus_confidence,,-0.41104198233685096,,,-0.7852070487280624,-0.3126000091350448,0.47260703959301753,-0.47260703959301753
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.07,clean_correct,one_minus_confidence,,-0.33839260553030587,,,-0.7904277616773522,-0.19133093246300614,0.599096829214346,-0.599096829214346
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.07,all,predictive_entropy,,-0.3990920266819655,,,-0.7862514024673126,-0.3016090478899211,0.4846423545773915,-0.4846423545773915
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.07,clean_correct,predictive_entropy,,-0.33080463352720013,,,-0.7915877669921672,-0.18704060893013158,0.6045471580620356,-0.6045471580620356
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.08,all,expected_entropy,,-0.42858602603015633,,,-0.635859298902046,-0.29595389006944356,0.3399054088326024,-0.3399054088326024
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.08,clean_correct,expected_entropy,,-0.3811413249189637,,,-0.639486838589109,-0.1840939275485865,0.45539291104052254,-0.45539291104052254
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.08,all,mutual_information,,-0.44736228892015073,,,-0.6345130900829167,-0.3411870173726336,0.29332607271028305,-0.29332607271028305
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.08,clean_correct,mutual_information,,-0.3911439403350983,,,-0.6382733910775548,-0.23325463905137142,0.4050187520261833,-0.4050187520261833
