architecture,family,eval_split,training,train_epsilon,rob_lam,config_id,eval_epsilon,subset,score,metric,n_seeds,mean,sd,ci_low,ci_high
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,predictive_entropy,rho_pessimistic,5,-0.3572081798870099,0.03856302583507997,-0.4050905007282304,-0.30932585904578946
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,predictive_entropy,rho_optimistic,5,-0.30541912666664367,0.06209850511315996,-0.38252460480792677,-0.22831364852536057
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,predictive_entropy,rho_pessimistic,5,-0.27643627707528634,0.04150899196159572,-0.3279764979957292,-0.22489605615484348
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,predictive_entropy,rho_optimistic,4,-0.2369066454121565,0.008597042932359234,-0.2505864591703825,-0.22322683165393048
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.07,all,expected_entropy,rho_pessimistic,5,-0.4334323920896502,0.033080072540380395,-0.47450672722100945,-0.3923580569582909
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.07,all,expected_entropy,rho_optimistic,5,-0.3606554274461031,0.057472414066459025,-0.4320168548822849,-0.28929400000992134
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.07,clean_correct,expected_entropy,rho_pessimistic,5,-0.37661361541466126,0.0544061614402137,-0.4441677873554365,-0.30905944347388603
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.07,clean_correct,expected_entropy,rho_optimistic,5,-0.2782388369803005,0.0758693455718637,-0.3724430719441638,-0.18403460201643718
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.07,all,mutual_information,rho_pessimistic,5,-0.4501791572308365,0.08701372476343772,-0.5582209666192085,-0.3421373478424646
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.07,all,mutual_information,rho_optimistic,5,-0.3995429479702383,0.06568294847913947,-0.48109910039265846,-0.31798679554781817
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.07,clean_correct,mutual_information,rho_pessimistic,5,-0.38368382580948435,0.11715036910149049,-0.5291452214990877,-0.23822243011988095
