comparison_id,architecture,family,seed,eval_split,train_epsilon,rob_lam,robust_config_id,standard_model_id,robust_model_id,layer,metric,standard,robust,delta
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed1_eps0p08_lam0p25.json,mlp512x1,bbb,1,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s1|val|standard,mlp512x1|bbb|s1|val|robust_eps0p08_lam0p25,0,sigma_w_median,0.17628264427185059,0.18533535301685333,0.009052708745002747
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed1_eps0p08_lam0p25.json,mlp512x1,bbb,1,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s1|val|standard,mlp512x1|bbb|s1|val|robust_eps0p08_lam0p25,1,relative_spread_mean,1.5380027294158936,7.741808891296387,6.203806161880493
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed1_eps0p08_lam0p25.json,mlp512x1,bbb,1,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s1|val|standard,mlp512x1|bbb|s1|val|robust_eps0p08_lam0p25,1,sigma_b_mean,0.012828722596168518,0.009000898338854313,-0.003827824257314205
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed1_eps0p08_lam0p25.json,mlp512x1,bbb,1,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s1|val|standard,mlp512x1|bbb|s1|val|robust_eps0p08_lam0p25,1,sigma_w_max,0.19140557944774628,0.16435007750988007,-0.02705550193786621
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed1_eps0p08_lam0p25.json,mlp512x1,bbb,1,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s1|val|standard,mlp512x1|bbb|s1|val|robust_eps0p08_lam0p25,1,sigma_w_mean,0.023461561650037766,0.04207912087440491,0.01861755922436714
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed1_eps0p08_lam0p25.json,mlp512x1,bbb,1,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s1|val|standard,mlp512x1|bbb|s1|val|robust_eps0p08_lam0p25,1,sigma_w_median,0.019618714228272438,0.03927038982510567,0.01965167559683323
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed2_eps0p08_lam0p25.json,mlp512x1,bbb,2,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s2|val|standard,mlp512x1|bbb|s2|val|robust_eps0p08_lam0p25,0,relative_spread_mean,29396373504.0,12.598231315612793,-29396373491.401768
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed2_eps0p08_lam0p25.json,mlp512x1,bbb,2,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s2|val|standard,mlp512x1|bbb|s2|val|robust_eps0p08_lam0p25,0,sigma_b_mean,0.039277173578739166,0.09328000247478485,0.054002828896045685
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed2_eps0p08_lam0p25.json,mlp512x1,bbb,2,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s2|val|standard,mlp512x1|bbb|s2|val|robust_eps0p08_lam0p25,0,sigma_w_max,0.22279490530490875,0.20241646468639374,-0.020378440618515015
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed2_eps0p08_lam0p25.json,mlp512x1,bbb,2,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s2|val|standard,mlp512x1|bbb|s2|val|robust_eps0p08_lam0p25,0,sigma_w_mean,0.141963928937912,0.1482725292444229,0.006308600306510925
