architecture,family,eval_split,training,train_epsilon,rob_lam,config_id,eval_epsilon,subset,score,task,tau,metric,n_seeds,mean,sd,ci_low,ci_high
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,one_minus_confidence,pgd_failure,,auroc,5,0.8458333333333332,0.05628856702544287,0.7759418461473613,0.9157248205193051
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,one_minus_confidence,pgd_failure,,auprc,5,0.565368782964691,0.02329115341032477,0.5364489962984499,0.594288569630932
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,one_minus_confidence,pgd_failure,,prevalence,5,0.04,0.0,0.04,0.04
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,one_minus_confidence,certified_below_threshold,0.5,auroc,0,,,,
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,one_minus_confidence,certified_below_threshold,0.5,auprc,0,,,,
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,one_minus_confidence,certified_below_threshold,0.5,prevalence,5,0.0,0.0,0.0,0.0
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,one_minus_confidence,certified_below_threshold,0.9,auroc,0,,,,
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,one_minus_confidence,certified_below_threshold,0.9,auprc,0,,,,
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,one_minus_confidence,certified_below_threshold,0.9,prevalence,5,0.0,0.0,0.0,0.0
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,one_minus_confidence,pgd_failure,,auroc,0,,,,
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,one_minus_confidence,pgd_failure,,auprc,0,,,,
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,one_minus_confidence,pgd_failure,,prevalence,5,0.0,0.0,0.0,0.0
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,predictive_entropy,certified_below_threshold,0.5,auroc,5,0.8458333333333332,0.05482373902891988,0.7777606703342048,0.9139059963324616
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,predictive_entropy,certified_below_threshold,0.5,auprc,5,0.5650051759834369,0.022571326708490363,0.5369791722178093,0.5930311797490645
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,predictive_entropy,certified_below_threshold,0.5,prevalence,5,0.04,0.0,0.04,0.04
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,predictive_entropy,certified_below_threshold,0.9,auroc,5,0.8458333333333332,0.05482373902891988,0.7777606703342048,0.9139059963324616
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,predictive_entropy,certified_below_threshold,0.9,auprc,5,0.5650051759834369,0.022571326708490363,0.5369791722178093,0.5930311797490645
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,predictive_entropy,certified_below_threshold,0.9,prevalence,5,0.04,0.0,0.04,0.04
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,predictive_entropy,pgd_failure,,auroc,5,0.8458333333333332,0.05482373902891988,0.7777606703342048,0.9139059963324616
