architecture,family,eval_split,train_epsilon,rob_lam,robust_config_id,outcome_group,eval_epsilon,metric,n_seeds,mean,sd,ci_low,ci_high
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,certification,0.05,frac_p_safe_lower_geq_0p5,5,0.9399999999999998,0.014142135623730925,0.9224402193382982,0.9575597806617014
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,certification,0.05,frac_p_safe_point_geq_0p9,5,0.9359999999999999,0.016733200530681475,0.9152229873263287,0.9567770126736712
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,certification,0.05,mean_interval_width,5,-0.38271058824076076,0.010126504800227356,-0.3952843046788407,-0.37013687180268084
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,certification,0.05,mean_net_frac_safe,5,0.772,0.022803508501982737,0.7436857044603546,0.8003142955396454
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,certification,0.05,mean_net_frac_unsafe,5,-0.04,0.014142135623730947,-0.05755978066170166,-0.02244021933829835
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,certification,0.05,mean_p_safe_lower,5,0.8691825536370417,0.013176418866706292,0.8528218687049997,0.8855432385690837
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,certification,0.05,mean_p_safe_point,5,0.9399825536370419,0.014392847041815825,0.9221114736335656,0.9578536336405181
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,certification,0.05,mean_p_safe_upper,5,0.4864719653962809,0.021319561498214908,0.46000023342645635,0.5129436973661055
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,certification,0.05,mean_property_evaluations,5,-92.31199999999998,3.6436684810778273,-96.83621197434411,-87.78778802565586
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,certification,0.05,mean_unknown_frac,5,-0.39550126568336286,0.009415090957059039,-0.40719164516455686,-0.38381088620216885
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,certification,0.05,median_p_safe_point,5,1.0,0.0,1.0,1.0
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,pgd,0.05,accuracy,5,0.0743,0.0045083256315399415,0.06870217437113761,0.0798978256288624
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,pgd,0.05,brier,5,-0.0971932590007782,0.00941883752913277,-0.10888829046563286,-0.08549822753592354
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,pgd,0.05,ece,5,-0.01703345043659211,0.003969034665593169,-0.02196165788848186,-0.012105242984702355
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,pgd,0.05,ece_adaptive,5,-0.01897863016724587,0.005416985785207051,-0.025704706395519014,-0.012252553938972725
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,pgd,0.05,mc_samples,5,0.0,0.0,0.0,0.0
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,pgd,0.05,mean_confidence,5,0.05532095324754218,0.0021024554529536915,0.0527104100037824,0.05793149649130196
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,pgd,0.05,mean_mutual_information,5,-0.05090992339619366,0.0010436009600317004,-0.05220572513675591,-0.04961412165563141
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,pgd,0.05,mean_predictive_entropy,5,-0.11935312190642278,0.0022906934849113336,-0.1221973935375571,-0.11650885027528846
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,pgd,0.05,n,5,0.0,0.0,0.0,0.0
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,pgd,0.05,nll,5,-0.09203763008117676,0.030702220130408263,-0.13015947148203155,-0.053915788680321944
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,certification,0.07,frac_p_safe_lower_geq_0p5,5,0.8560000000000001,0.026076809620810618,0.823621364305826,0.8883786356941742
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,certification,0.07,frac_p_safe_point_geq_0p9,5,0.844,0.021908902300206663,0.8167965047736697,0.8712034952263302
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,certification,0.07,mean_interval_width,5,-0.06306327725469085,0.013398538787240115,-0.07969976049534362,-0.046426794014038084
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,certification,0.07,mean_net_frac_safe,5,0.884,0.026076809620810618,0.8516213643058259,0.9163786356941741
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,certification,0.07,mean_net_frac_unsafe,5,-0.22799999999999998,0.022803508501982758,-0.2563142955396454,-0.19968570446035455
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,certification,0.07,mean_p_safe_lower,5,0.7934503258734533,0.019081013197984723,0.7697581187362648,0.8171425330106419
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,certification,0.07,mean_p_safe_point,5,0.8598468127221357,0.019846201114961368,0.8352044992965768,0.8844891261476946
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,certification,0.07,mean_p_safe_upper,5,0.7303870486187625,0.015600519893429575,0.7110164447138293,0.7497576525236956
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,certification,0.07,mean_property_evaluations,5,-25.948,7.30466426333202,-35.01793863474499,-16.87806136525501
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,certification,0.07,mean_unknown_frac,5,-0.06487513595359698,0.015210013781652982,-0.08376086247845857,-0.04598940942873538
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,certification,0.07,median_p_safe_point,5,1.0,0.0,1.0,1.0
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,pgd,0.07,accuracy,5,0.2162,0.005641365083027327,0.20919532007568117,0.22320467992431883
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,pgd,0.07,brier,5,-0.31678721904754636,0.008609997137250226,-0.32747794251750745,-0.3060964955775853
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,pgd,0.07,ece,5,-0.1258082297772169,0.006094191090951457,-0.13337516745302544,-0.11824129210140835
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,pgd,0.07,ece_adaptive,5,-0.1264630729675293,0.007375234084802962,-0.1356206356089544,-0.11730551032610416
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,pgd,0.07,mc_samples,5,0.0,0.0,0.0,0.0
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,pgd,0.07,mean_confidence,5,0.0896856641686731,0.0017969551701649306,0.08745444962749319,0.09191687870985302
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,pgd,0.07,mean_mutual_information,5,-0.07820202814114649,0.002152247897101037,-0.0808743968701866,-0.07552965941210638
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,pgd,0.07,mean_predictive_entropy,5,-0.1799650909416063,0.0038269859487691585,-0.18471692161582462,-0.17521326026738795
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,pgd,0.07,n,5,0.0,0.0,0.0,0.0
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,pgd,0.07,nll,5,-0.48421411514282225,0.04022998089488275,-0.5341662340684235,-0.4342619962172211
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,certification,0.08,frac_p_safe_lower_geq_0p5,5,0.792,0.033466401061363005,0.7504459746526574,0.8335540253473427
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,certification,0.08,frac_p_safe_point_geq_0p9,5,0.768,0.04381780460041329,0.7135930095473395,0.8224069904526605
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,certification,0.08,mean_interval_width,5,0.03506521652014182,0.049824871631608376,-0.026800532799950337,0.09693096584023397
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,certification,0.08,mean_net_frac_safe,5,0.852,0.030331501776206228,0.8143384662330312,0.8896615337669688
