comparison_id,architecture,family,seed,eval_split,train_epsilon,rob_lam,robust_config_id,standard_model_id,robust_model_id,outcome_group,eval_epsilon,metric,standard,robust,delta
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s0|val|standard,mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,certification,0.01,mean_net_frac_unsafe,0.04,0.04,0.0
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s0|val|standard,mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,certification,0.01,mean_p_safe_lower,0.8629414794396051,0.8875384615384614,0.0245969820988563
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s0|val|standard,mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,certification,0.01,mean_p_safe_point,0.9349414794396051,0.9595384615384616,0.024596982098856413
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s0|val|standard,mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,certification,0.01,mean_p_safe_upper,0.963,0.963,0.0
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s0|val|standard,mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,certification,0.01,mean_property_evaluations,114.38,94.84,-19.539999999999992
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s0|val|standard,mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,certification,0.01,mean_unknown_frac,0.02505852056039477,0.0004615384615384616,-0.02459698209885631
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s0|val|standard,mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,certification,0.01,median_p_safe_point,1.0,1.0,0.0
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s0|val|standard,mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,pgd,0.03,accuracy,0.9395,0.9435,0.0040000000000000036
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s0|val|standard,mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,pgd,0.03,brier,0.09065741300582886,0.09273866564035416,0.002081252634525299
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s0|val|standard,mlp512x1|bbb|s0|val|robust_eps0p08_lam0p25,pgd,0.03,ece,0.01659579218924048,0.026472312599420535,0.009876520410180056
