level,file,check,detail
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed4_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.05: MAE=0.0128"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed4_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.07: MAE=0.00411"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed4_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.08: MAE=0.00508"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed4_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.1: MAE=0.00147"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed4_eps0p08_lam0p25.json,unknown_mass_identity,"robust, eps=0.05: MAE=0.000385"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed4_eps0p08_lam0p25.json,unknown_mass_identity,"robust, eps=0.07: MAE=0.00117"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed4_eps0p08_lam0p25.json,unknown_mass_identity,"robust, eps=0.08: MAE=0.000614"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed4_eps0p08_lam0p25.json,unknown_mass_identity,"robust, eps=0.1: MAE=0.00135"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/deterministic/seed0_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.05: MAE=0.0024"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/deterministic/seed1_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.05: MAE=0.000506"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/deterministic/seed1_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.07: MAE=0.000112"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/deterministic/seed1_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.08: MAE=0.000214"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/deterministic/seed1_eps0p08_lam0p25.json,unknown_mass_identity,"robust, eps=0.08: MAE=0.000379"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/deterministic/seed1_eps0p08_lam0p25.json,unknown_mass_identity,"robust, eps=0.1: MAE=0.000117"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/deterministic/seed3_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.05: MAE=0.000143"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/deterministic/seed3_eps0p08_lam0p25.json,unknown_mass_identity,"robust, eps=0.1: MAE=0.000515"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/deterministic/seed4_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.05: MAE=0.000264"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/deterministic/seed4_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.07: MAE=9.52e-05"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/deterministic/seed4_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.08: MAE=0.000794"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed0_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.01: MAE=0.000631"
