comparison_id,architecture,family,seed,eval_split,train_epsilon,rob_lam,robust_config_id,eval_epsilon,subset,score,task,tau,auroc_standard,auroc_robust,delta_auroc,auprc_standard,auprc_robust,delta_auprc,prevalence_standard,prevalence_robust
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,one_minus_confidence,certified_below_threshold,0.5,,,,,,,0.0,0.0
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,one_minus_confidence,certified_below_threshold,0.9,,,,,,,0.0,0.0
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,predictive_entropy,pgd_failure,,1.0,0.875,-0.125,1.0,0.5714285714285714,-0.4285714285714286,0.04,0.04
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,predictive_entropy,certified_below_threshold,0.5,1.0,0.875,-0.125,1.0,0.5714285714285714,-0.4285714285714286,0.04,0.04
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,predictive_entropy,certified_below_threshold,0.9,1.0,0.875,-0.125,1.0,0.5714285714285714,-0.4285714285714286,0.045454545454545456,0.04
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,predictive_entropy,pgd_failure,,,,,,,,0.0,0.0
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,predictive_entropy,certified_below_threshold,0.5,,,,,,,0.0,0.0
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,predictive_entropy,certified_below_threshold,0.9,,,,,,,0.0,0.0
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,expected_entropy,pgd_failure,,0.9866666666666667,0.9148936170212766,-0.07177304964539011,0.9028571428571428,0.626984126984127,-0.2758730158730158,0.1,0.06
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,expected_entropy,certified_below_threshold,0.5,,0.927536231884058,,,0.7435897435897436,,1.0,0.061224489795918366
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,expected_entropy,certified_below_threshold,0.9,,0.927536231884058,,,0.7435897435897436,,1.0,0.061224489795918366
